prog	rc	objsize	encode_miss	udf	asm_diff	status
example/test_closures.hexa	0	4768	0	0	match	CLEAN
example/test_callback.hexa	0	5384	0	0	match	CLEAN
example/test_lazy.hexa	0	4960	0	0	match	CLEAN
example/pattern_match.hexa	0	2664	0	0	match	CLEAN
example/struct_patterns.hexa	0	20720	0	0	match	CLEAN
example/match_min.hexa	0	4520	0	0	match	CLEAN
example/quicksort.hexa	0	5440	0	0	match	CLEAN
example/sorting.hexa	0	14200	0	0	match	CLEAN
example/bsearch.hexa	0	4984	0	0	match	CLEAN
example/sudoku.hexa	0	9448	0	0	match	CLEAN
example/queens.hexa	0	6848	0	0	match	CLEAN
example/maze.hexa	0	6976	0	0	match	CLEAN
example/life.hexa	0	12480	0	0	match	CLEAN
example/mathlib.hexa	0	3984	0	0	match	CLEAN
example/physics.hexa	0	3264	0	0	match	CLEAN
example/mandelbrot.hexa	0	5408	0	0	match	CLEAN
example/stats.hexa	0	12720	0	0	match	CLEAN
example/float_min.hexa	0	2560	0	0	match	CLEAN
example/test_format_precision.hexa	0	8976	0	0	match	CLEAN
example/string_processing.hexa	0	19176	0	0	match	CLEAN
example/strmethods_min.hexa	0	2904	0	0	match	CLEAN
example/strops_min.hexa	0	2736	0	0	match	CLEAN
example/strcat_min.hexa	0	2224	0	0	match	CLEAN
example/strarr_min.hexa	0	3472	0	0	match	CLEAN
example/split_min.hexa	0	3328	0	0	match	CLEAN
example/rot13.hexa	0	4808	0	0	match	CLEAN
example/base64.hexa	0	4664	0	0	match	CLEAN
example/base_conv.hexa	0	5944	0	0	match	CLEAN
example/regex.hexa	0	7880	0	0	match	CLEAN
example/array_sum.hexa	0	2048	0	0	match	CLEAN
example/arrconcat_min.hexa	0	4328	0	0	match	CLEAN
example/dynarr_min.hexa	0	3048	0	0	match	CLEAN
example/forarray_min.hexa	0	2824	0	0	match	CLEAN
example/idxassign_min.hexa	0	2728	0	0	match	CLEAN
example/histogram.hexa	0	11600	0	0	match	CLEAN
example/matmul.hexa	0	7232	0	0	match	CLEAN
example/hash_demo.hexa	0	10088	0	0	match	CLEAN
example/json_get.hexa	0	6032	0	0	match	CLEAN
example/json_pretty.hexa	0	7304	0	0	match	CLEAN
example/csv_sum.hexa	0	2808	0	0	match	CLEAN
example/fibonacci.hexa	0	1960	0	0	match	CLEAN
example/fibonacci_memo.hexa	0	7624	0	0	match	CLEAN
example/memoize_fib.hexa	0	1448	0	0	match	CLEAN
example/memoize_binom.hexa	0	1696	0	0	match	CLEAN
example/hanoi.hexa	0	3944	0	0	match	CLEAN
example/factorial_min.hexa	0	1784	0	0	match	CLEAN
example/gcd_lcm.hexa	0	6536	0	0	match	CLEAN
example/sieve_era.hexa	0	5800	0	0	match	CLEAN
example/sieve_min.hexa	0	3016	0	0	match	CLEAN
example/optimize_ackermann.hexa	0	1656	0	0	match	CLEAN
example/struct_min.hexa	0	2472	0	0	match	CLEAN
example/record_test.hexa	0	5168	0	0	match	CLEAN
example/auto_record_test.hexa	0	4288	0	0	match	CLEAN
example/bank.hexa	0	6848	0	0	match	CLEAN
example/global_mut.hexa	0	2656	0	0	match	CLEAN
example/comptime_const.hexa	0	1272	0	0	match	CLEAN
example/test_comptime.hexa	0	5912	0	0	match	CLEAN
example/test_builtins.hexa	0	4032	0	0	match	CLEAN
example/test_generation.hexa	0	14736	0	0	match	CLEAN
example/calc.hexa	0	8592	0	0	match	CLEAN
example/rpn.hexa	0	7856	0	0	match	CLEAN
example/roman.hexa	0	8512	0	0	match	CLEAN
example/egyptian_fraction.hexa	0	3480	0	0	match	CLEAN
example/wc.hexa	0	3536	0	0	match	CLEAN
example/uniq.hexa	0	5312	0	0	match	CLEAN
example/grep.hexa	0	2624	0	0	match	CLEAN
example/diff.hexa	0	5472	0	0	match	CLEAN
example/tree.hexa	0	6760	0	0	match	CLEAN
example/fizzbuzz_min.hexa	0	2488	0	0	match	CLEAN
example/practical_state_machine.hexa	0	25328	0	0	match	CLEAN
example/practical_calculator.hexa	0	10352	0	0	match	CLEAN
example/practical_data_pipeline.hexa	0	17336	0	0	match	CLEAN
example/bf.hexa	0	7480	0	0	match	CLEAN
example/self_host_lexer.hexa	0	23936	0	0	match	CLEAN
example/self_host_parser.hexa	0	13160	0	0	match	CLEAN
example/mini_transpiler.hexa	0	2808	0	0	match	CLEAN
example/test_try_catch.hexa	0	11032	0	0	match	CLEAN
example/test_error_fallback.hexa	0	6032	0	0	match	CLEAN
example/test_53_keywords.hexa	0	8000	0	0	match	CLEAN
example/nested_if_expr.hexa	0	2536	0	0	match	CLEAN
example/elseif_min.hexa	0	2160	0	0	match	CLEAN
example/test_ptr_arith.hexa	0	9664	0	0	match	CLEAN
